A	Coef	t	p.value	p.value.adj	F	F.p.value	group2 - group1
9.15	-0.765	-2.49	0.07289	1	6.19	0.07289	0
8.6	-0.017	-0.05	0.95921	1	0	0.95921	0
7.09	-1.564	-5.08	0.00879	1	25.78	0.00879	0
9.36	0.041	0.09	0.93524	1	0.01	0.93524	0
10.74	-0.811	-1.42	0.23479	1	2.01	0.23479	0
8.75	1.143	1.66	0.17749	1	2.77	0.17749	0
11.11	0.073	0.43	0.69279	1	0.18	0.69279	0
7.97	0.349	0.86	0.44254	1	0.74	0.44254	0
6.56	0.821	1.77	0.15687	1	3.15	0.15687	0
9.34	-0.243	-0.73	0.50831	1	0.53	0.50831	0
8.19	0.494	1.04	0.36276	1	1.08	0.36276	0
9.64	-0.027	-0.07	0.94943	1	0	0.94943	0
7.67	1.081	3.55	0.02735	1	12.57	0.02735	0
9.1	0.508	1.35	0.25371	1	1.82	0.25371	0
10.68	0.762	3.51	0.02822	1	12.31	0.02822	0
7.73	1.343	3.18	0.03755	1	10.12	0.03755	0
6.54	-0.087	-0.36	0.73959	1	0.13	0.73959	0
6.45	-1.067	-1.34	0.25694	1	1.79	0.25694	0
7.13	1.236	4.53	0.01277	1	20.51	0.01277	0
8.52	0.438	2.7	0.05887	1	7.31	0.05887	0
8.02	0.821	1.97	0.12578	1	3.89	0.12578	0
9.68	-0.181	-0.38	0.72379	1	0.15	0.72379	0
7.85	0.117	0.43	0.69038	1	0.19	0.69038	0
8.99	0.332	0.84	0.454	1	0.7	0.454	0
5.57	1.26	5.11	0.00859	1	26.15	0.00859	0
6.92	1.773	3.63	0.02546	1	13.18	0.02546	0
5.61	-0.196	-0.58	0.59707	1	0.33	0.59707	0
11.15	-0.451	-1.2	0.29981	1	1.45	0.29981	0
10.55	0.297	1.49	0.21623	1	2.22	0.21623	0
8.02	-1.6	-4.22	0.016	1	17.81	0.016	0
9.91	0.432	1.09	0.34331	1	1.18	0.34331	0
7.93	0.229	1.12	0.3319	1	1.25	0.3319	0
6.95	-1.271	-3.62	0.02564	1	13.12	0.02564	0
8.57	-0.941	-2.5	0.07214	1	6.24	0.07214	0
10.87	0.181	0.6	0.58434	1	0.36	0.58434	0
6.55	1.131	4.38	0.01422	1	19.18	0.01422	0
9.37	0.335	0.91	0.41722	1	0.83	0.41722	0
8.24	-0.336	-1.47	0.22149	1	2.16	0.22149	0
8.19	-0.021	-0.1	0.92715	1	0.01	0.92715	0
7.63	0.495	2.24	0.09431	1	5.02	0.09431	0
